Day_of_Year,temperature_2m_min.p5,temperature_2m_min.p25,temperature_2m_min.p50,temperature_2m_min.p75,temperature_2m_min.p95,temperature_2m_max.p5,temperature_2m_max.p25,temperature_2m_max.p50,temperature_2m_max.p75,temperature_2m_max.p95,relative_humidity.p5,relative_humidity.p25,relative_humidity.p50,relative_humidity.p75,relative_humidity.p95,proba_wind.p5,proba_wind.p25,proba_wind.p50,proba_wind.p75,proba_wind.p95,proba_precipitation.p5,proba_precipitation.p25,proba_precipitation.p50,proba_precipitation.p75,proba_precipitation.p95,snow_depth.p5,snow_depth.p25,snow_depth.p50,snow_depth.p75,snow_depth.p95
1,-11.83,-5.11,-1.75,0.67,3.07,-7.39,-1.34,1.65,3.66,6.45,93.84,97.23,98.54,99.39,99.86,0.00,0.00,4.54,17.27,51.36,15.33,34.33,48.33,64.66,83.33,0.00,0.92,3.82,8.08,33.10
2,-11.60,-5.05,-1.76,0.58,3.06,-7.36,-1.23,1.67,3.62,6.35,93.77,97.23,98.55,99.40,99.85,0.00,0.00,4.54,17.27,55.45,15.00,34.66,47.66,64.66,83.66,0.04,1.09,4.04,8.35,33.44
3,-11.54,-5.13,-1.84,0.53,3.00,-7.28,-1.22,1.62,3.59,6.24,93.92,97.23,98.53,99.39,99.85,0.00,0.00,4.54,18.18,59.54,15.00,35.00,47.00,64.00,84.66,0.05,1.21,4.26,8.55,33.82
4,-11.46,-5.20,-1.83,0.49,3.01,-7.17,-1.29,1.50,3.50,6.20,93.86,97.19,98.53,99.39,99.85,0.00,0.00,5.00,19.54,63.63,15.33,35.00,46.00,62.66,85.00,0.06,1.29,4.43,8.84,34.18
5,-11.46,-5.26,-1.91,0.41,2.93,-7.15,-1.43,1.38,3.46,6.14,93.63,97.07,98.49,99.34,99.84,0.00,0.00,5.91,20.45,66.81,15.66,34.33,44.66,61.66,84.66,0.06,1.34,4.59,9.16,34.32
6,-11.49,-5.40,-2.01,0.32,2.90,-7.19,-1.53,1.25,3.39,6.11,93.61,97.03,98.45,99.29,99.82,0.00,0.00,6.82,21.36,69.09,15.33,33.66,43.33,60.33,84.00,0.06,1.40,4.85,9.45,34.48
7,-11.70,-5.54,-2.14,0.34,2.91,-7.17,-1.65,1.19,3.37,5.98,93.63,97.10,98.43,99.27,99.82,0.00,0.00,7.73,22.72,69.99,14.66,32.00,42.00,59.00,83.00,0.06,1.44,5.11,9.74,34.61
8,-11.69,-5.61,-2.19,0.32,2.80,-7.10,-1.76,1.15,3.34,5.97,93.59,97.05,98.41,99.22,99.81,0.00,0.00,8.63,22.72,69.99,13.99,30.33,40.33,57.00,81.66,0.06,1.45,5.27,10.00,34.61
9,-11.60,-5.68,-2.26,0.26,2.77,-6.98,-1.75,1.09,3.28,5.94,93.53,97.01,98.39,99.21,99.81,0.00,0.00,8.64,22.27,69.54,13.33,28.33,38.67,54.66,80.66,0.06,1.48,5.39,10.32,34.58
10,-11.59,-5.83,-2.27,0.12,2.75,-7.15,-1.81,0.98,3.15,5.86,93.41,96.96,98.35,99.19,99.79,0.00,0.00,7.73,22.72,67.27,12.99,26.66,37.33,52.00,79.33,0.06,1.56,5.58,10.59,34.56
11,-11.63,-6.09,-2.42,0.01,2.61,-7.04,-1.98,0.78,2.99,5.78,93.20,96.88,98.28,99.15,99.77,0.00,0.00,6.82,23.18,64.09,12.33,25.33,35.67,49.67,77.66,0.06,1.69,5.81,11.08,34.13
12,-11.95,-6.24,-2.55,-0.11,2.59,-7.22,-2.21,0.61,2.85,5.76,93.23,96.83,98.23,99.07,99.74,0.00,0.00,5.91,22.27,60.90,11.66,24.00,35.00,47.33,75.66,0.06,1.92,6.12,11.62,34.26
13,-12.27,-6.31,-2.76,-0.33,2.47,-7.36,-2.22,0.48,2.65,5.63,93.36,96.78,98.20,99.02,99.70,0.00,0.00,5.00,20.45,56.81,10.66,22.66,34.33,45.67,73.66,0.07,2.14,6.45,12.21,34.39
14,-12.41,-6.35,-2.96,-0.50,2.34,-7.35,-2.19,0.28,2.51,5.59,93.41,96.81,98.21,99.00,99.69,0.00,0.00,4.09,18.18,51.81,9.66,21.33,33.67,44.67,72.00,0.09,2.38,6.81,12.81,34.51
15,-12.63,-6.34,-3.07,-0.52,2.30,-7.43,-2.23,0.22,2.47,5.61,93.64,96.86,98.22,99.01,99.69,0.00,0.00,3.18,16.82,47.27,8.33,21.00,33.33,44.00,71.00,0.11,2.63,7.13,13.34,34.56
16,-12.73,-6.38,-3.15,-0.43,2.32,-7.34,-2.23,0.18,2.54,5.63,93.70,96.89,98.23,99.03,99.71,0.00,0.00,2.27,15.45,43.18,7.33,20.67,32.33,43.66,70.33,0.12,2.86,7.42,13.77,34.53
17,-12.74,-6.42,-3.25,-0.39,2.29,-7.17,-2.32,0.17,2.60,5.58,93.75,96.94,98.25,99.01,99.69,0.00,0.00,1.36,13.63,40.45,6.33,21.00,32.33,44.00,70.00,0.13,3.04,7.64,14.14,34.26
18,-12.69,-6.52,-3.43,-0.51,2.19,-7.17,-2.46,0.13,2.52,5.52,93.64,96.90,98.19,98.96,99.69,0.00,0.00,0.45,12.73,38.63,6.00,21.00,32.33,45.00,69.33,0.14,3.17,7.84,14.47,34.03
19,-12.49,-6.70,-3.54,-0.70,2.08,-6.90,-2.56,0.05,2.43,5.44,93.49,96.80,98.12,98.91,99.68,0.00,0.00,0.00,11.36,38.18,6.00,21.33,33.33,46.66,69.00,0.15,3.25,8.06,14.78,33.90
20,-12.60,-6.80,-3.65,-0.73,2.09,-6.91,-2.62,-0.02,2.41,5.41,93.52,96.79,98.08,98.88,99.68,0.00,0.00,0.00,10.00,39.54,5.66,22.00,35.00,48.66,69.00,0.17,3.25,8.32,15.21,33.81
21,-13.04,-6.97,-3.74,-0.76,2.00,-7.11,-2.78,0.00,2.41,5.25,93.24,96.73,98.05,98.87,99.66,0.00,0.00,0.00,9.09,41.36,5.33,22.33,37.00,50.33,69.00,0.18,3.20,8.54,15.56,33.71
22,-13.39,-7.04,-3.85,-0.82,1.86,-7.15,-2.87,-0.09,2.34,5.18,93.16,96.68,97.99,98.85,99.66,0.00,0.00,0.00,9.09,42.72,4.99,23.00,39.00,52.33,69.33,0.21,3.20,8.69,15.91,33.71
23,-13.45,-7.00,-3.96,-0.94,1.84,-7.06,-2.91,-0.18,2.18,5.15,92.88,96.69,97.97,98.81,99.65,0.00,0.00,0.00,9.09,44.54,4.99,24.00,40.66,54.33,70.00,0.29,3.27,8.84,16.28,33.88
24,-13.51,-6.96,-4.06,-1.04,1.71,-7.10,-2.89,-0.23,2.14,5.07,93.03,96.65,97.93,98.78,99.62,0.00,0.00,0.00,9.09,46.36,4.66,24.66,42.33,56.33,70.67,0.37,3.37,9.06,16.67,34.07
25,-13.55,-7.07,-4.09,-1.08,1.64,-7.15,-2.85,-0.19,2.09,5.01,93.35,96.76,97.91,98.77,99.62,0.00,0.00,0.00,8.63,47.72,4.66,25.00,43.67,58.33,71.00,0.47,3.56,9.38,17.09,34.33
26,-13.73,-7.18,-4.03,-1.08,1.59,-7.19,-2.87,-0.13,2.06,4.95,93.37,96.75,97.91,98.77,99.63,0.00,0.00,0.00,8.18,48.63,4.99,25.33,45.67,60.00,71.33,0.63,3.75,9.58,17.52,34.35
27,-13.80,-7.29,-3.92,-1.17,1.51,-7.28,-2.79,-0.10,1.99,4.90,93.39,96.73,97.85,98.76,99.63,0.00,0.00,0.45,8.18,48.18,5.66,25.66,47.00,60.66,71.33,0.79,3.99,9.74,17.95,34.37
28,-13.97,-7.38,-3.94,-1.20,1.50,-7.32,-2.70,-0.05,1.98,4.89,93.63,96.73,97.86,98.79,99.64,0.00,0.00,0.91,9.09,47.27,6.33,25.99,47.67,60.66,71.67,0.92,4.20,10.00,18.37,34.49
29,-14.14,-7.43,-3.91,-1.20,1.49,-7.34,-2.77,0.02,1.98,4.93,93.60,96.70,97.85,98.79,99.63,0.00,0.00,1.36,9.54,45.45,6.33,25.66,47.33,60.33,71.33,1.01,4.42,10.20,18.76,34.62
30,-14.05,-7.44,-3.93,-1.12,1.44,-7.21,-2.76,0.04,2.05,4.94,93.52,96.67,97.81,98.76,99.62,0.00,0.00,1.36,10.00,43.18,5.99,25.00,46.33,59.00,71.33,1.09,4.58,10.42,19.08,34.75
31,-13.86,-7.34,-3.94,-1.04,1.49,-7.16,-2.74,0.07,2.12,4.99,93.69,96.66,97.77,98.73,99.63,0.00,0.00,1.36,10.00,40.90,5.99,24.66,45.00,57.66,71.33,1.15,4.66,10.58,19.28,34.88
32,-13.74,-7.38,-3.93,-0.95,1.44,-6.97,-2.64,0.13,2.18,4.99,93.81,96.64,97.74,98.74,99.65,0.00,0.00,1.36,10.00,38.63,5.66,23.66,43.00,56.33,71.66,1.24,4.65,10.71,19.34,35.07
33,-13.62,-7.56,-3.88,-0.90,1.49,-6.85,-2.64,0.21,2.32,5.03,93.88,96.68,97.72,98.72,99.64,0.00,0.00,1.36,10.00,36.36,5.66,22.33,41.66,54.66,71.66,1.30,4.67,10.80,19.37,35.29
34,-13.58,-7.55,-3.80,-0.82,1.50,-6.79,-2.57,0.34,2.36,5.03,93.83,96.58,97.67,98.69,99.62,0.00,0.00,1.36,10.00,34.99,5.99,22.00,40.00,53.00,72.00,1.35,4.67,10.93,19.42,35.53
35,-13.53,-7.61,-3.74,-0.85,1.39,-6.66,-2.50,0.43,2.39,5.05,93.78,96.52,97.61,98.62,99.58,0.00,0.00,1.36,10.45,34.54,6.66,21.33,38.33,51.33,72.66,1.39,4.72,11.03,19.49,35.80
36,-13.24,-7.55,-3.66,-0.97,1.37,-6.61,-2.35,0.49,2.38,5.06,93.68,96.45,97.60,98.59,99.57,0.00,0.00,1.36,10.45,34.54,7.33,20.66,36.66,49.66,73.33,1.43,4.78,11.19,19.62,36.07
37,-13.13,-7.51,-3.57,-1.06,1.34,-6.49,-2.22,0.52,2.45,5.14,93.46,96.32,97.53,98.55,99.56,0.00,0.00,0.91,10.45,34.09,8.00,20.00,35.33,48.33,74.00,1.48,4.81,11.32,19.78,36.34
38,-13.22,-7.44,-3.49,-0.99,1.33,-6.36,-2.10,0.59,2.55,5.26,93.61,96.30,97.51,98.53,99.56,0.00,0.00,0.45,9.54,32.72,8.00,20.00,34.66,46.99,74.66,1.51,4.82,11.40,19.87,36.54
39,-13.27,-7.30,-3.42,-0.90,1.38,-6.41,-2.08,0.64,2.62,5.26,93.67,96.32,97.48,98.51,99.56,0.00,0.00,0.00,9.54,32.27,8.00,20.66,34.33,46.33,75.66,1.51,4.84,11.38,20.04,36.64
40,-13.13,-7.17,-3.37,-0.92,1.37,-6.34,-1.96,0.70,2.63,5.37,93.57,96.29,97.48,98.50,99.54,0.00,0.00,0.00,9.54,30.90,8.33,21.00,34.00,46.33,76.33,1.51,4.88,11.35,20.13,36.78
41,-12.79,-7.05,-3.27,-0.87,1.41,-6.19,-1.79,0.71,2.65,5.47,93.80,96.28,97.46,98.48,99.56,0.00,0.00,0.00,10.45,30.90,8.33,21.66,33.66,46.66,76.66,1.50,4.89,11.36,20.30,37.04
42,-12.78,-7.20,-3.24,-0.84,1.46,-6.18,-1.75,0.73,2.72,5.56,93.84,96.27,97.45,98.47,99.56,0.00,0.00,0.45,11.36,31.81,8.66,22.66,34.00,47.33,76.33,1.45,4.81,11.47,20.42,37.45
43,-13.10,-7.35,-3.24,-0.80,1.43,-6.39,-1.79,0.79,2.89,5.58,93.91,96.19,97.41,98.47,99.57,0.00,0.00,1.36,12.27,33.18,8.66,24.00,34.33,48.33,76.00,1.36,4.75,11.69,20.45,37.78
44,-13.33,-7.49,-3.22,-0.77,1.48,-6.42,-1.84,0.83,2.97,5.71,93.90,96.18,97.37,98.46,99.59,0.00,0.00,2.27,12.73,34.08,8.66,24.66,35.00,49.33,75.33,1.27,4.75,11.87,20.45,38.11
45,-13.42,-7.59,-3.19,-0.71,1.59,-6.34,-1.92,0.92,3.10,5.75,93.82,96.07,97.33,98.43,99.55,0.00,0.00,2.73,12.27,34.99,7.99,25.66,36.00,50.66,74.00,1.18,4.72,12.01,20.43,38.40
46,-13.24,-7.50,-3.25,-0.62,1.71,-6.09,-1.80,0.96,3.26,5.86,93.59,96.04,97.28,98.41,99.52,0.00,0.00,3.18,12.27,35.45,6.66,26.33,36.33,51.66,72.66,1.03,4.64,12.18,20.36,38.82
47,-12.95,-7.35,-3.27,-0.59,1.78,-5.93,-1.70,1.00,3.33,6.05,93.33,95.95,97.27,98.34,99.50,0.00,0.00,3.63,12.72,37.27,5.33,26.66,36.33,52.00,71.33,0.88,4.56,12.34,20.26,39.22
48,-12.85,-7.28,-3.25,-0.51,1.76,-5.79,-1.59,1.06,3.41,6.26,93.18,95.84,97.13,98.27,99.48,0.00,0.00,3.63,13.18,40.45,4.33,26.33,36.33,52.66,70.33,0.75,4.55,12.31,20.13,39.64
49,-12.78,-7.27,-3.29,-0.50,1.79,-5.86,-1.46,1.10,3.53,6.47,93.17,95.79,97.04,98.17,99.46,0.00,0.00,3.63,13.63,42.27,3.66,25.66,36.33,53.00,69.33,0.66,4.47,12.33,20.00,40.05
50,-12.94,-7.31,-3.35,-0.53,1.75,-5.85,-1.39,1.20,3.65,6.69,93.10,95.70,96.97,98.15,99.44,0.00,0.00,3.63,14.09,43.63,3.00,24.66,36.33,52.66,68.33,0.57,4.35,12.31,19.90,40.42
51,-13.03,-7.20,-3.30,-0.57,1.69,-5.86,-1.26,1.30,3.68,6.82,93.06,95.67,96.96,98.16,99.43,0.00,0.00,3.63,13.18,43.18,2.33,23.33,36.33,52.00,68.33,0.51,4.24,12.26,19.92,40.86
52,-12.95,-7.19,-3.24,-0.55,1.71,-5.80,-1.14,1.41,3.76,6.96,92.97,95.65,96.94,98.18,99.41,0.00,0.00,3.18,11.81,41.81,1.66,22.00,36.00,51.00,68.66,0.43,4.16,12.25,20.00,41.32
53,-12.77,-6.86,-3.12,-0.48,1.72,-5.71,-0.93,1.55,3.88,7.07,92.70,95.53,96.95,98.18,99.41,0.00,0.00,2.27,10.45,40.45,1.00,20.66,35.33,50.00,68.33,0.37,4.06,12.28,20.05,41.79
54,-12.69,-6.82,-3.02,-0.46,1.77,-5.71,-0.88,1.68,3.99,7.15,92.39,95.43,96.89,98.16,99.42,0.00,0.00,1.36,10.00,38.63,0.33,19.33,34.66,49.66,67.99,0.31,3.91,12.24,20.04,42.28
55,-12.87,-6.75,-3.05,-0.53,1.77,-5.75,-0.83,1.74,4.00,7.05,92.11,95.24,96.82,98.11,99.40,0.00,0.00,0.91,10.00,36.36,0.00,18.00,33.33,48.66,67.66,0.25,3.72,12.15,20.02,42.74
56,-13.06,-6.84,-3.06,-0.52,1.75,-5.71,-0.77,1.85,4.05,7.11,92.03,95.11,96.70,98.06,99.36,0.00,0.00,0.45,10.00,34.54,0.33,17.00,32.66,47.33,68.00,0.21,3.59,12.05,20.00,43.18
57,-13.18,-6.80,-3.02,-0.48,1.82,-5.65,-0.65,1.93,4.10,7.21,91.97,95.07,96.66,98.01,99.39,0.00,0.00,0.45,9.54,31.81,0.33,16.33,32.33,46.33,68.33,0.16,3.56,11.92,20.00,43.60
58,-13.05,-6.85,-3.01,-0.48,1.85,-5.56,-0.58,1.98,4.17,7.20,91.69,94.90,96.59,97.95,99.36,0.00,0.00,0.45,9.09,28.18,0.33,15.66,32.33,45.33,69.00,0.13,3.49,11.83,20.13,43.98
59,-13.09,-6.89,-3.06,-0.46,1.81,-5.56,-0.45,2.02,4.23,7.40,91.58,94.78,96.53,97.92,99.34,0.00,0.00,0.91,8.63,24.99,1.00,14.33,32.33,44.33,69.66,0.12,3.41,11.79,20.18,44.34
60,-13.13,-6.98,-3.14,-0.48,1.79,-5.63,-0.46,2.06,4.29,7.46,91.54,94.71,96.47,97.87,99.34,0.00,0.00,1.82,9.09,22.72,1.33,13.66,32.33,44.33,70.66,0.11,3.30,11.65,20.18,44.67
61,-13.24,-6.98,-3.21,-0.48,1.86,-5.54,-0.43,2.10,4.43,7.53,91.33,94.52,96.35,97.83,99.33,0.00,0.00,2.73,10.00,21.81,1.66,13.66,32.00,44.33,70.66,0.11,3.23,11.50,20.16,44.87
62,-13.17,-6.85,-3.22,-0.44,1.93,-5.37,-0.33,2.23,4.59,7.74,91.17,94.34,96.25,97.72,99.27,0.00,0.00,3.63,11.36,21.36,2.00,14.33,32.00,44.00,70.00,0.11,3.14,11.26,20.27,44.83
63,-12.89,-6.71,-3.16,-0.40,1.95,-5.16,-0.15,2.32,4.61,7.99,91.06,94.27,96.19,97.72,99.24,0.00,0.00,4.54,12.73,21.36,2.66,14.66,32.00,43.33,69.66,0.10,3.04,11.02,20.39,44.62
64,-12.65,-6.51,-3.06,-0.35,1.96,-4.92,0.06,2.50,4.72,8.14,90.93,94.21,96.16,97.70,99.20,0.00,0.00,5.45,13.64,22.27,3.33,15.00,32.00,42.33,69.33,0.09,2.92,10.74,20.47,44.37
65,-12.56,-6.27,-3.02,-0.33,1.95,-4.72,0.29,2.66,4.83,8.27,90.76,94.12,96.08,97.68,99.20,0.00,0.00,6.36,15.00,23.63,3.66,15.33,32.33,41.67,68.66,0.08,2.78,10.38,20.45,44.08
66,-12.49,-6.19,-2.93,-0.33,1.86,-4.62,0.45,2.83,4.90,8.27,90.68,94.03,96.06,97.68,99.20,0.00,0.00,6.36,16.82,25.00,3.66,15.66,32.00,42.00,67.66,0.08,2.64,9.90,20.37,43.81
67,-12.49,-6.01,-2.78,-0.27,1.89,-4.46,0.64,3.04,5.08,8.38,90.71,93.96,95.96,97.68,99.20,0.00,0.00,5.91,18.63,27.27,4.00,16.00,31.66,42.66,66.66,0.08,2.46,9.38,20.29,43.52
68,-12.53,-5.84,-2.62,-0.25,1.99,-4.23,0.69,3.17,5.16,8.40,90.58,93.88,96.01,97.70,99.20,0.00,0.00,5.91,20.00,29.54,4.66,16.66,31.00,43.33,65.66,0.08,2.25,8.95,20.13,43.19
69,-12.38,-5.76,-2.55,-0.20,2.01,-4.03,0.80,3.28,5.23,8.43,90.28,93.71,95.91,97.69,99.21,0.00,0.00,5.45,21.36,31.81,4.66,18.00,30.33,43.66,64.33,0.08,2.07,8.53,19.98,42.79
70,-12.25,-5.72,-2.39,-0.15,2.18,-3.86,0.93,3.42,5.35,8.42,90.25,93.58,95.83,97.62,99.16,0.00,0.00,4.55,21.81,33.63,4.99,19.33,29.66,43.66,62.33,0.08,1.95,8.12,19.85,42.35
71,-12.11,-5.77,-2.31,-0.11,2.27,-3.61,1.10,3.59,5.57,8.47,90.05,93.47,95.72,97.59,99.13,0.00,0.00,3.64,21.81,34.99,5.33,20.00,30.00,44.00,60.66,0.08,1.84,7.69,19.68,41.81
72,-12.10,-5.61,-2.24,-0.07,2.41,-3.49,1.24,3.71,5.73,8.63,89.87,93.31,95.64,97.48,99.09,0.00,0.00,2.73,21.81,35.45,5.33,20.00,29.66,44.33,60.00,0.07,1.69,7.23,19.49,41.07
73,-12.12,-5.56,-2.23,-0.04,2.53,-3.34,1.39,3.85,5.87,8.94,89.96,93.30,95.50,97.43,99.10,0.00,0.00,1.82,21.81,35.45,4.66,20.00,29.33,44.66,60.00,0.06,1.52,6.72,19.30,40.25
74,-12.01,-5.30,-2.14,0.05,2.61,-3.15,1.55,4.03,6.13,9.28,90.10,93.28,95.45,97.43,99.07,0.00,0.00,1.82,20.90,34.99,4.00,19.67,29.33,45.00,60.00,0.05,1.38,6.20,18.99,39.41
75,-11.66,-5.15,-2.00,0.19,2.72,-2.85,1.69,4.19,6.47,9.67,90.11,93.27,95.39,97.39,99.05,0.00,0.00,0.91,20.00,33.63,3.66,19.00,29.00,45.33,61.00,0.05,1.24,5.70,18.67,38.51
76,-11.36,-4.99,-1.85,0.31,2.78,-2.61,1.78,4.29,6.76,9.99,89.91,93.08,95.26,97.35,99.05,0.00,0.00,1.36,18.18,32.27,3.33,18.33,29.33,45.00,62.00,0.04,1.05,5.24,18.39,37.58
77,-11.20,-4.94,-1.73,0.37,2.76,-2.46,1.85,4.57,7.03,10.24,89.87,92.96,95.16,97.31,99.04,0.00,0.00,1.36,16.36,30.45,3.00,17.66,29.66,44.33,63.00,0.03,0.80,4.84,17.99,36.74
78,-11.24,-4.78,-1.53,0.48,2.80,-2.31,2.00,4.83,7.38,10.62,89.70,92.89,95.00,97.27,99.04,0.00,0.00,1.36,15.00,28.18,2.33,17.00,29.66,44.00,64.00,0.02,0.66,4.41,17.44,35.78
79,-11.13,-4.63,-1.40,0.54,2.93,-2.08,2.18,5.03,7.59,10.78,89.45,92.79,94.91,97.29,99.05,0.00,0.00,1.36,13.63,25.45,1.66,16.33,29.33,44.00,65.33,0.02,0.53,3.97,16.84,34.71
80,-10.89,-4.47,-1.24,0.65,3.06,-1.72,2.34,5.19,7.81,10.98,89.06,92.59,94.85,97.26,99.04,0.00,0.00,1.36,12.27,23.18,1.00,15.66,29.33,43.66,67.00,0.01,0.45,3.59,16.21,33.59
81,-10.72,-4.34,-1.11,0.70,3.18,-1.45,2.47,5.45,7.99,11.21,88.90,92.39,94.84,97.21,99.03,0.00,0.00,1.36,11.36,21.36,0.67,15.33,28.66,43.33,69.33,0.00,0.40,3.22,15.49,32.46
82,-10.50,-4.24,-1.02,0.74,3.24,-1.28,2.60,5.60,8.16,11.34,88.74,92.26,94.70,97.20,99.03,0.00,0.00,1.82,10.45,20.90,0.67,15.00,28.33,43.33,71.33,0.00,0.37,2.88,14.57,31.30
83,-10.21,-4.07,-0.96,0.77,3.36,-0.92,2.80,5.79,8.46,11.39,88.60,91.98,94.44,97.03,98.99,0.00,0.00,2.27,9.54,20.45,1.33,15.00,28.00,43.00,72.66,0.00,0.34,2.43,13.57,30.08
84,-10.03,-3.93,-0.93,0.79,3.45,-0.68,3.01,5.89,8.65,11.55,88.24,91.74,94.17,96.88,99.00,0.00,0.00,1.82,9.54,19.99,2.00,15.33,27.66,42.33,73.33,0.00,0.27,2.07,12.54,28.82
85,-9.63,-3.81,-0.84,0.86,3.47,-0.41,3.23,6.05,8.81,11.91,88.15,91.53,94.00,96.76,99.03,0.00,0.00,1.82,9.09,20.90,3.00,16.00,27.33,41.67,73.67,0.00,0.21,1.74,11.60,27.46
86,-9.43,-3.70,-0.74,0.96,3.53,-0.11,3.37,6.17,8.94,12.21,88.01,91.30,93.85,96.74,98.99,0.00,0.00,1.36,9.09,21.81,4.00,16.66,27.33,41.33,73.67,0.00,0.17,1.49,10.83,25.98
87,-9.22,-3.66,-0.73,1.01,3.64,0.06,3.46,6.28,9.08,12.39,87.75,91.22,93.75,96.70,98.95,0.00,0.00,1.36,9.09,22.72,5.00,17.33,27.66,41.67,73.33,0.00,0.14,1.30,10.08,24.54
